sample_id,Mg_Ca_measurement,Mg_Ca_precision
6768,0.175133333333333,
6769,0.2136,
6770,0.250183333333334,
6771,0.199545454545454,
6772,0.177016666666667,
6773,0.1696,
6774,0.188075,
6775,0.223690909090909,
6776,0.1612,
6777,0.163083333333333,
6778,0.1654,
6779,0.207572727272728,
6780,0.1616,
6781,0.1551,
6782,0.1504,
6783,0.1454,
6784,0.145809090909092,
6785,0.1409,
6786,0.2141,
6787,0.180675,
6788,0.1674,
6789,0.169499999999998,
6790,0.1841,
6791,0.147525,
6792,0.164245454545455,
6793,0.1444,
6794,0.157891666666666,
6795,0.1569,
6796,0.149516666666667,
6797,0.152781818181818,
6798,0.1566,
6799,0.1696,
6800,0.1501,
6801,0.1526,
6802,0.151358333333333,
6803,0.1453,
6804,0.1411,
6805,0.139627272727272,
6806,0.14015,
6807,0.1606,
6808,0.155766666666667,
6809,0.1526,
6810,0.1514,
6811,0.153845454545456,
6812,0.141627272727273,
6813,0.1461,
6814,0.152683333333333,
6815,0.1584,
6816,0.1851,
6817,0.2096,
6818,0.1531,
6819,0.1614,
6820,0.167718181818181,
6821,0.1619,
6822,0.1494,
6823,0.187866666666667,
6824,0.1294,
6825,0.1721,
6826,0.1381,
6827,0.149233333333333,
6828,0.17165,
6829,0.176490909090907,
6830,0.160345454545455,
6831,0.1896,
6832,0.1871,
6833,0.1584,
6834,0.146872727272728,
6835,0.156175,
6836,0.1821,
6837,0.1809,
6838,0.159433333333333,
6839,0.1321,
6840,0.1684,
6841,0.1474,
6842,0.1694,
6843,0.1631,
6844,0.149233333333334,
6845,0.1434,
6846,0.154316666666667,
6847,0.1684,
6848,0.1499,
6849,0.141672727272727,
6850,0.1776,
6851,0.166127272727273,
6852,0.152433333333334,
6853,0.161474999999998,
6854,0.149445454545455,
6855,0.1834,
6856,0.154472727272723,
6857,0.1524,
6858,0.1631,
6859,0.1516,
6860,0.1839,
6861,0.189724999999999,
6862,0.22332727272727,
6863,0.205966666666668,
6864,0.166736363636363,
6865,0.176599999999998,
6866,0.2313,
6867,0.1826,
6868,0.1821,
6869,0.206663636363637,
6870,0.2168,
6871,0.174066666666666,
6872,0.1864,
6873,0.2143,
6874,0.2603,
6875,0.2408,
6876,0.3068,
6877,0.303954545454548,
6878,0.311454545454544,
6879,0.30329166666667,
6880,0.2638,
6881,0.261166666666665,
6882,0.24069166666667,
6883,0.2628,
6884,0.283072727272724,
6885,0.298181818181815,
6886,0.2296,
6887,0.262958333333336,
6888,0.276633333333333,
6889,0.3152,
6890,0.353291666666663,
6891,0.232645454545454,
6892,0.2328,
6893,0.2408,
6894,0.26016666666667,
6895,0.257,
6896,0.2011,
6897,0.2133,
6898,0.2083,
6899,0.2491,
6900,0.395283333333337,
6901,0.319,
6902,0.2615,
6903,0.3075,
